target,include,include_display,resolved,occurrences,including_files,including_file_count,recursive_include_count,transitive_loc,total_cost,internal_includer_count
flags_test,functional,functional,False,4,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
flags_test,future,future,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,io.h,io.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,iomanip,iomanip,False,5,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,ios,ios,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,iosfwd,iosfwd,False,10,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum_iostream.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
flags_test,iostream,iostream,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,iterator,iterator,False,5,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,limits,limits,False,5,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
flags_test,map,map,False,4,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,memory,memory,False,20,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,numeric,numeric,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,optional,optional,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
flags_test,ostream,ostream,False,8,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,random,random,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,ratio,ratio,False,2,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,regex,regex,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,set,set,False,6,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,signal.h,signal.h,False,2,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,sstream,sstream,False,12,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/test_flags.cpp,2,,,,2
flags_test,stack,stack,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
